Console Address,OS,HW Type
d1ppap1000-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1001-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1002-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1003-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1004-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1005-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1006-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1007-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1008-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1010-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1011-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1012-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1013-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1014-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1015-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1016-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1017-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1018-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1019-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1020-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1021-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1022-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1023-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1024-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1025-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1026-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1027-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1028-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1029-ilo.1dc.com,CentOS 6 X86_64,PROLIANT DL380P GEN8
d1ppap1030-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R620
d1ppap1031-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d1ppap1032-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d1ppap1033-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R720XD
d1ppap1034-drac.1dc.com,CentOS 6 X86_64,POWEREDGE R620
